Name,Genre,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
Deepak Chopra's Leela,Misc,X360,THQ,Curious Pictures,,,,0.13,0.07,0.05,,0.01,2011
DreamWorks Super Star Kartz,Racing,DS,Activision,Activision,,,,0.13,0.08,0.03,,0.01,2011
WipeOut 3 The Game,Party,WiiU,Activision,Behaviour Interactive,,,,0.13,0.11,,,0.01,2012
007 Legends,Shooter,WiiU,Activision,Eurocom,,,,0.13,0.06,0.06,,0.01,2012
Outlast Trinity,Action,XOne,Warner Bros. Interactive Entertainment,Red Barrels,,,,0.13,0.1,0.02,,0.01,2017
Top Shot Arcade,Shooter,Wii,Activision,Activision,,,,0.13,0.12,,,0.01,2011
Soccer Tsuku: Pro Soccer Club o Tsukurou!,Sports,PS3,Sega,Sega,,,,0.13,,,0.13,,2013
Sonic Mania,Platform,XOne,Sega,PagodaWest Games,,,,0.13,0.09,0.03,,0.01,2017
Sengoku Basara 3 Utage,Action,Wii,Capcom,Capcom,,,,0.13,,,0.13,,2011
Mass Effect: Andromeda,Role-Playing,PC,Electronic Arts,BioWare Corp.,,,,0.13,0.04,0.08,,0.01,2017
NeverDead,Shooter,PS3,Konami,Rebellion Developments,,,,0.13,0.06,0.04,0.01,0.02,2012
Tom Clancy's Splinter Cell: Blacklist,Action-Adventure,WiiU,Ubisoft,Ubisoft Shanghai,9.2,,,0.13,0.04,0.07,,0.01,2013
Thor: God of Thunder,Action,DS,Sega,WayForward Technologies,6.4,,,0.13,0.08,0.03,,0.01,2011
Everybody Dance,Music,PS3,Sony Computer Entertainment,SCEE London Studio,6.5,,,0.13,0.11,,,0.02,2011
Deepak Chopra's Leela,Misc,Wii,THQ,Curious Pictures,,,,0.13,0.1,0.01,,0.01,2011
My Fitness Coach: Club,Sports,PS3,Ubisoft,Ubisoft,,,,0.13,,0.11,,0.02,2011
Assassin's Creed Chronicles,Action,PSV,Ubisoft,Climax Studios,,,,0.12,0.01,0.07,0.02,0.02,2016
Prototype 2,Action,PC,Activision,Radical Entertainment,,,,0.12,0.09,0.03,,0.01,2012
Venetica,Role-Playing,PS3,Atari,DECK13 Interactive,5,,,0.12,0.07,0.03,,0.01,2011
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,PS4,Activision,PlatinumGames,,,,0.12,0.07,0.03,,0.02,2016
NCIS,Adventure,PS3,Ubisoft,Ubisoft,,,,0.12,0.07,0.04,,0.02,2011
Overstrike,Shooter,PS3,Electronic Arts,Insomniac Games,,,,0.12,0.06,0.04,,0.02,2013
The Voice,Music,WiiU,Activision,Zoe Mode,,,,0.12,0.11,0,,0.01,2014
SpongeBob's Surf & Skate Roadtrip,Action,DS,THQ,THQ,,,,0.12,0.1,0.01,,0.01,2011
The Smurfs 2,Platform,X360,Ubisoft,Way Forward,,,,0.12,0.03,0.08,,0.01,2013
Dance Paradise,Misc,X360,THQ,Smackdown Productions,7,,,0.12,0.1,0.01,,0.01,2011
Marvel Avengers: Battle for Earth,Misc,WiiU,Ubisoft,Ubisoft Quebec,,,,0.12,0.06,0.05,,0.01,2012
Saru! Get You! Million Monkeys,Platform,PS2,Sony Computer Entertainment,SCEI,,,,0.12,,,0.12,,2019
Conduit 2,Shooter,Wii,Sega,High Voltage Software,6.3,,,0.12,0.07,0.04,,0.01,2011
Football Manager Classic 2014,Sports,PSV,Sega,Sports Interactive,5.8,,,0.12,,0.1,,0.03,2014
The Walking Dead - The Telltale Series: A New Frontier,Adventure,XOne,Warner Bros. Interactive Entertainment,Telltale Games,,,,0.12,0.1,0.01,,0.01,2017
"Snipperclips Plus: Cut It Out, Together!",Puzzle,NS,Nintendo,SFB Games,8.2,8.5,,0.12,,0.02,0.1,0,2017
Nascar Unleashed,Racing,X360,Activision,Activision,,,,0.12,0.11,,,0.01,2011
Life is Strange,Adventure,XOne,Square Enix,DONTNOD Entertainment,,,,0.12,0.08,0.03,,0.01,2016
Picross 3D Round 2,Puzzle,3DS,Nintendo,HAL Laboratory,8.6,,,0.12,,0,0.12,0,2016
Pokemon Crystal Version,Role-Playing,3DS,Nintendo,Game Freak,,,,0.12,,0.11,,0.01,2018
The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou,Adventure,3DS,Capcom,Capcom,,,,0.12,,,0.12,,2017
DreamWorks Super Star Kartz,Racing,3DS,Activision,Activision,,,,0.12,0.08,0.03,,0.01,2011
LEGO Batman 2: DC Super Heroes,Action-Adventure,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.12,0.04,0.07,,0.01,2013
NBA 2K16,Sports,PC,2K Sports,Visual Concepts,,,,0.12,0.05,0.07,,0.01,2015
Fatal Frame: Maiden of Black Water,Misc,WiiU,Nintendo,Koei Tecmo Games,,5.8,,0.12,,0.03,0.09,0,2015
Jikkyou Powerful Pro Baseball 2018,Sports,PSV,Konami,Konami,,,,0.12,,,0.12,,2018
Wolfenstein The Two Pack,Shooter,XOne,Bethesda Softworks,MachineGames,,,,0.12,0.11,,,0.01,2017
Deca Sports Extreme,Sports,3DS,Konami,Hudson Soft,,,,0.12,0.08,0,0.03,0.01,2011
Wipeout 2,Misc,PS3,Activision,Endemol,,,,0.12,0.11,,,0.01,2011
Spider-Man: Edge of Time,Adventure,3DS,Activision,Beenox,5.5,,,0.12,0.08,0.03,,0.01,2011
Petz Puppyz & Kittenz,Misc,DS,Ubisoft,Ubisoft,,,,0.12,0.11,,,0.01,2011
Lost Planet 3,Shooter,X360,Capcom,Spark Unlimited,,,,0.12,0.07,0.04,0.01,0.01,2013
Disney Princess: Enchanting Storybooks,Misc,DS,THQ,THQ,,,,0.12,0.07,0.03,,0.01,2011
The Price is Right: Decades,Misc,Wii,Ubisoft,Ludia Inc.,,,,0.12,0.11,,,0.01,2011
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Misc,PS4,Ubisoft,Ubisoft,,,,0.12,0.1,,,0.02,2017
FIFA Football,Sports,PSV,EA Sports,EA Canada,,,,0.12,0.02,0.09,,0.02,2011
DreamWorks Super Star Kartz,Racing,PS3,Activision,Activision,,,,0.12,0.06,0.03,,0.02,2011
Marvel's Guardians of the Galaxy: The Telltale Series,Adventure,PS4,Warner Bros. Interactive Entertainment,Telltale Games,,,,0.12,0.06,0.04,,0.02,2017
After Hours Athletes,Sports,PS3,Sony Computer Entertainment,Sony Computer Entertainment,,,,0.12,,0.1,,0.02,2011
Rocksmith,Misc,PC,Ubisoft,Ubisoft,,,,0.12,0.07,0.03,,0.01,2012
The Walking Dead: Survival Instinct,Shooter,WiiU,Activision,Terminal Reality,,,,0.12,0.08,0.03,,0.01,2013
Puss in Boots,Action,DS,THQ,THQ,,,,0.12,0.09,0.01,,0.01,2011
Call of Juarez: The Cartel,Shooter,PC,Ubisoft,Techland,4.5,,,0.12,0.05,0.05,,0.01,2011
Power Pro Kun Pocket 14,Sports,DS,Konami,Konami,,,,0.12,,,0.12,,2011
Self-Defense Training Camp,Sports,X360,Ubisoft,Ubisoft,,,,0.12,0.08,0.03,,0.01,2011
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,Misc,X360,Ubisoft,Unknown,,,,0.12,0.09,0.01,,0.01,2013
Alice: Madness Returns,Adventure,PC,Electronic Arts,Spicy Horse,6.7,,,0.12,,0.1,,0.01,2011
Nintendo Pocket Football Club,Sports,3DS,Nintendo,ParityBit,7,,,0.12,,,0.12,,2012
Funky Barn,Simulation,3DS,Ubisoft,Tantalus Interactive,,,,0.12,0.07,0.04,,0.01,2012
Family Game Night 4: The Game Show,Misc,PS3,Electronic Arts,Electronic Arts,,,,0.12,0.08,0.02,,0.02,2011
The Price is Right: Decades,Misc,X360,Ubisoft,Ludia Inc.,,,,0.12,0.11,,,0.01,2011
Yakuza 1&2 HD EDITION,Adventure,PS3,Sega,Sega,,,,0.11,,,0.11,,2012
Puyo Puyo Tetris,Puzzle,3DS,Sega,Sonic Team,,,,0.11,,,0.11,,2014
Transformer: Rise of the Dark Spark,Shooter,PS3,Activision,Edge of Reality,,,,0.11,0.04,0.04,0.01,0.02,2014
Darkspore,Role-Playing,PC,Electronic Arts,Maxis,6.6,,,0.11,0.07,0.03,,0.01,2011
Dungeons & Dragons: Daggerdale,Role-Playing,PC,Atari,Bedlam Games,,,0.11,,,,,,2011
Final Fantasy III,Misc,PSP,Square Enix,Unknown,,,,0.11,,,0.11,,2012
Tom Clancy's Splinter Cell Trilogy,Action,PS3,Ubisoft,Ubisoft,6.5,,,0.11,,0.09,,0.02,2011
NCIS 3D,Adventure,3DS,Ubisoft,Ubisoft,,,,0.11,0.06,0.04,,0.01,2012
SaGa: Scarlet Grace,Role-Playing,PSV,Square Enix,Square Enix,,,,0.11,,,0.11,,2016
de Blob 2,Platform,DS,THQ,Blue Tongue,7.5,,,0.11,0.08,0.02,,0.01,2011
Deus Ex: Human Revolution,Shooter,WiiU,Square Enix,Eidos Interactive,8.6,,,0.11,0.05,0.05,,0.01,2013
WWE All Stars,Fighting,PS2,THQ,THQ,,,,0.11,0.05,0.04,,0.01,2011
The Elder Scrolls Online: Summerset,MMO,XOne,Bethesda Softworks,ZeniMax Online Studios,,,,0.11,0.09,0.01,,0.01,2018
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,Misc,PS3,THQ,Unknown,,,,0.11,,,0.11,,2011
Prototype: Biohazard Bundle,Action,XOne,Activision,Activision,,,,0.11,0.1,,,0.01,2016
Invizimals: The Lost Tribes,Action,PSP,Sony Computer Entertainment,Novarama,,,,0.11,,0.08,,0.03,2011
Final Fantasy XII: The Zodiac Age,Role-Playing,PC,Square Enix,Square Enix,,,0.11,,,,,,2018
Hasbro Family Game Night Fun Pack,Misc,Wii,Electronic Arts,Electronic Arts,,,,0.11,0.1,,,0.01,2011
Wolfenstein II: The New Colossus,Shooter,NS,Bethesda Softworks,MachineGames,8.3,,,0.11,0.05,0.05,,0.01,2018
Frontier Gate,Role-Playing,PSP,Konami,tri-Ace,,,,0.11,,,0.11,,2011
Transformers: Devastation,Action,PS3,Activision,PlatinumGames,,,,0.11,0.05,0.04,,0.02,2015
Hole in the Wall: Deluxe Edition,Misc,X360,Ubisoft,Ubisoft,,,,0.11,0.1,,,0.01,2011
NBA 2K18,Sports,X360,2K Sports,Visual Concepts,7,,,0.11,0.09,0,,0.01,2017
Shining Ark,Misc,PSP,Sega,Media.Vision,,,,0.11,,,0.11,,2013
Pokemon Rumble World,Action,3DS,Nintendo,Ambrella,7,,,0.11,,0.02,0.09,0,2015
Sonic Generations,Platform,PC,Sega,Sega,8.3,,,0.11,0.02,0.07,,0.02,2011
Burnout Paradise Remastered,Racing,XOne,Electronic Arts,Stellar Entertainment,8,,,0.11,0.06,0.04,,0.01,2018
Call of Duty: Modern Warfare Trilogy,Shooter,PS3,Activision,Infinity Ward,,,,0.11,0.07,0.02,,0.02,2016
Football Manager 2019,Simulation,PC,Sega,Sports Interactive,,,,0.11,,0.1,,0.01,2018
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,X360,THQ,THQ,,,,0.11,0.07,0.03,,0.01,2011
Cabela's Adventure Camp,Misc,PS3,Activision,Activision,,,,0.11,0.06,0.03,,0.02,2011
Fit in Six,Sports,Wii,Ubisoft,Blue Byte Studio,,,,0.11,0.1,,,0.01,2011
Transformers: Devastation,Action,X360,Activision,PlatinumGames,,,,0.11,0.08,0.01,,0.01,2015
The Voice,Music,X360,Activision,Zoe Mode,,,,0.11,0.1,,,0.01,2014
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,DS,THQ,THQ,,,,0.11,0.06,0.03,,0.01,2011
Assassin's Creed Chronicles,Action,PS4,Ubisoft,Climax Studios,,,,0.11,0.02,0.05,0.02,0.01,2016
Family Feud: 2012 Edition,Misc,X360,Ubisoft,Ubisoft,,,,0.11,0.1,,,0.01,2011
Fatal Frame 2: Wii Edition,Action-Adventure,Wii,Nintendo,Koei Tecmo Games,,,,0.11,,0,0.1,0,2012
NASCAR The Game: Inside Line,Racing,X360,Activision,Eutechnyx,,,,0.11,0.09,,,0.01,2012
Busou Shinki: Battle Masters Mk. 2,Action,PSP,Konami,Konami,,,,0.11,,,0.11,,2011
NHL-Legacy Edition,Sports,X360,EA Sports,EA Canada,,,,0.1,0.09,,,0.01,2015
Final Fantasy VI,Role-Playing,PC,Square Enix,Square Enix,,,0.1,,,,,,2015
Marvel Super Hero Squad: The Infinity Gauntlet,Action,3DS,THQ,THQ,4.8,,,0.1,0.07,0.03,,0.01,2011
Monkey Island: Special Edition Collection,Adventure,PS3,Activision,LucasArts,,,,0.1,,0.08,,0.02,2011
The Elder Scrolls Online: Summerset,MMO,PS4,Bethesda Softworks,ZeniMax Online Studios,7.5,,,0.1,0.08,,,0.02,2018
Starlink: Battle for Atlas,Action-Adventure,PS4,Ubisoft,Ubisoft Toronto,,,,0.1,0.08,,,0.02,2018
Mega Man Legacy Collection 2,Action,PS4,Capcom,Capcom,,,,0.1,0.06,,0.02,0.01,2017
Generator Rex: Agent of Providence,Action,3DS,Activision,Virtuos,,,,0.1,0.07,0.02,,0.01,2011
Cabela's Adventure Camp,Misc,X360,Activision,Activision,,,,0.1,0.07,0.02,,0.01,2011
Zone of the Enders: The 2nd Runner MARS,Simulation,PS4,Konami,Cygames,,,,0.1,0.05,0.01,0.03,0.01,2018
Starlink: Battle for Atlas,Action-Adventure,XOne,Ubisoft,Ubisoft Toronto,,,,0.1,0.09,,,0.01,2018
Scribblenauts Unmasked: A DC Comics Adventure,Puzzle,WiiU,Warner Bros. Interactive Entertainment,5TH Cell,,,,0.1,0.09,,,0.01,2013
Assassin's Creed: Rogue,Action,PC,Ubisoft,Ubisoft Sofia,,,,0.1,0.07,0.02,,0.01,2015
X-Men: Destiny,Action,Wii,Activision,Silicon Knights,3.3,,,0.1,0.07,0.02,,0.01,2011
The Smurfs 2,Platform,Wii,Ubisoft,Way Forward,,,,0.1,,0.1,,0.01,2013
Scribblenauts Unmasked: A DC Comics Adventure,Puzzle,3DS,Warner Bros. Interactive Entertainment,5TH Cell,,,,0.1,0.09,,,0.01,2013
Lord of Apocalypse,Role-Playing,PSV,Square Enix,Access Games,,,,0.1,,,0.1,,2011
Final Fantasy XIV Online Complete Edition,MMO,PS4,Square Enix,Square Enix,,,,0.1,0.07,,0.02,0.02,2017
Devil May Cry 4 Special Edition,Action,PS4,Capcom,Capcom,,,,0.1,0.01,,0.09,0,2015
Puyo Puyo Tetris,Puzzle,PS4,Sega,Sonic Team,,,,0.1,0.05,0.03,,0.02,2017
Just Dance 2019,Music,WiiU,Ubisoft,Ubisoft Paris,,,,0.1,0.06,0.03,,0.01,2018
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,PS3,Activision,PlatinumGames,,,,0.1,0.04,0.04,,0.02,2016
Michael Jackson The Experience HD,Misc,PSV,Ubisoft,Longtail Studios,,,,0.1,0.04,0.04,,0.02,2012
Nascar Unleashed,Racing,PS3,Activision,Activision,,,,0.1,0.09,,,0.01,2011
Angry Birds: Star Wars,Puzzle,WiiU,Activision,Exient Entertainment,,,,0.1,0.05,0.04,,0.01,2013
Murdered: Soul Suspect,Action-Adventure,X360,Square Enix,Airtight Games,,,,0.1,0.06,0.03,,0.01,2014
Wolfenstein The Two Pack,Shooter,PS4,Bethesda Softworks,MachineGames,,,,0.1,0.08,,,0.02,2017
TrackMania Turbo,Racing,XOne,Ubisoft,Nadeo,,,,0.1,0.05,0.04,,0.01,2016
Nicktoons MLB,Sports,DS,2K Sports,2K Sports,,,,0.1,0.09,,,0.01,2011
Start the Party! Save the World,Misc,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,,,,0.1,,0.08,,0.02,2011
Thor: God of Thunder,Action,3DS,Sega,WayForward Technologies,6,,,0.1,0.06,0.03,,0.01,2011
Cubic Ninja,Platform,3DS,Ubisoft,AQ Interactive,5.5,,,0.1,0.05,0.04,,0.01,2011
Harry Potter and the Deathly Hallows - Part 2,Action,PC,Electronic Arts,EA Bright Light,4.3,,,0.1,0.05,0.04,,0.01,2011
SpongeBob: HeroPants,Action-Adventure,X360,Activision,Behaviour Interactive,,,,0.1,0.09,0,,0.01,2015
Just Dance 2018,Music,X360,Ubisoft,Ubisoft Paris,,,,0.1,0.06,0.03,,0.01,2017
Lord of Apocalypse,Role-Playing,PSP,Square Enix,Access Games,,,,0.1,,,0.1,,2011
NeverDead,Shooter,X360,Konami,Rebellion Developments,,,,0.1,0.06,0.03,0,0.01,2012
Who Wants to Be A Millionaire?,Misc,X360,Ubisoft,Ubisoft,,,,0.1,0.09,,,0.01,2011
Fantasia: Music Evolved,Music,X360,Disney Interactive Studios,Harmonix Music Systems,,,,0.1,0.08,0.01,,0.01,2014
Ultra Street Fighter IV,Fighting,PS4,Sony Computer Entertainment,Capcom,,,,0.1,,0.08,,0.01,2015
The Smurfs 2,Platform,WiiU,Ubisoft,Way Forward,,,,0.1,0.05,0.04,,0.01,2013
Sega Genesis Classics,Misc,XOne,Sega,Sega,,,,0.1,0.06,0.03,,0.01,2018
Resident Evil 4,Action-Adventure,PS4,Capcom,Capcom,,,,0.1,0.07,,0.01,0.02,2016
Resident Evil: Revelations 2,Action,X360,Capcom,Capcom,,,,0.1,0.07,0.02,,0.01,2015
Resident Evil: Origins Collection,Action-Adventure,XOne,Capcom,Capcom,,,,0.1,0.07,0.02,,0.01,2016
Young Justice: Legacy,Action,PS3,Warner Bros. Interactive Entertainment,Freedom Factory Studios,,,,0.1,0.06,0.01,,0.02,2013
Emergency 2012,Simulation,PC,THQ,Quadriga Games,,,,0.1,0.04,0.05,,0.01,2011
Squinkies 2: Adventure Mall Surprize!,Platform,DS,Activision,Activision,,,,0.1,0.09,,,0.01,2011
Skylanders: Spyro's Adventure,Action,PC,Activision,Toys for Bob,,,,0.1,0.05,0.03,,0.01,2011
Battlefield V,Shooter,PC,Electronic Arts,EA DICE,,,,0.1,,0.09,,0.01,2018
Rio,Misc,X360,THQ,TBA,,,,0.1,0.05,0.03,,0.01,2011
Ultimate Marvel vs. Capcom 3,Fighting,PS3,Capcom,Capcom,,,,0.1,,0.04,0.04,0.01,2011
MindJack,Shooter,X360,Square Enix,FeelPlus,4.5,,,0.1,0.07,0.02,,0.01,2011
Disney Planes Fire & Rescue,Action,3DS,Disney Interactive Studios,Little Orbit,,,,0.1,0.01,0.08,,0.01,2014
Kung Fu Panda 2,Action,PS3,THQ,THQ,,,,0.1,0.04,0.04,,0.01,2011
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,X360,Activision,PlatinumGames,,,,0.09,0.03,0.06,,0.01,2016
The Smurfs 2,Platform,PS3,Ubisoft,Way Forward,,,,0.09,0.02,0.06,,0.01,2013
Inazuma Eleven 3: Lighting Bolt / Bomb Blast,Role-Playing,3DS,Nintendo,Level 5,,,,0.09,,0.09,,0.01,2013
Monopoly Collection,Misc,Wii,Electronic Arts,Electronic Arts,,,,0.09,0.02,0.07,,0.01,2011
Dance on Broadway,Misc,PS3,Ubisoft,Longtail Studios,,,,0.09,0.05,0.03,,0.01,2011
Driver: Renegade,Racing,3DS,Ubisoft,Ubisoft,3.5,,,0.09,0.05,0.04,,0.01,2011
Jimmie Johnson's Anything With an Engine,Racing,X360,Konami,Isopod Labs,7.3,,,0.09,0.08,,,0.01,2011
Generator Rex: Agent of Providence,Action,Wii,Activision,Virtuos,,,,0.09,0.07,0.01,,0.01,2011
Angry Birds: Star Wars,Puzzle,PSV,Activision,Exient Entertainment,,,,0.09,0.03,0.04,,0.02,2013
Resident Evil Chronicles HD,Shooter,PS3,Capcom,Capcom,,,,0.09,,,0.09,,2012
Invizimals: The Alliance,Action-Adventure,PSV,Sony Computer Entertainment,Novarama,,,,0.09,0,0.07,,0.02,2014
Toy Soldiers: War Chest,Action,PS4,Ubisoft,Signal Studios,,,,0.09,0.07,,,0.02,2015
Just Dance Wii U,Misc,WiiU,Nintendo,Unknown,,,,0.09,,,0.09,,2014
Major League Baseball 2K11,Sports,DS,2K Sports,Visual Concepts,,,,0.09,0.08,,,0.01,2011
The Amazing Spider-Man (2012),Action-Adventure,WiiU,Activision,Beenox,6,,,0.09,0.05,0.04,,0.01,2013
Brain Age: Concentration Training,Education,3DS,Nintendo,Nintendo,7.5,,,0.09,0.08,,,0.01,2013
Pro Evolution Soccer 2012,Sports,PC,Konami,Konami,7,,,0.09,,0.07,,0.02,2011
NASCAR The Game: Inside Line,Racing,PS3,Activision,Eutechnyx,,,,0.09,0.07,,,0.02,2012
Dragon Quest Heroes I & II for Nintendo Switch,Role-Playing,NS,Square Enix,Omega Force,,,,0.09,,,0.09,,2017
Life Is Strange: Before the Storm,Adventure,XOne,Square Enix,Deck Nine,,,,0.09,0.07,0,,0.01,2018
Just Dance: Disney Party 2,Music,WiiU,Ubisoft,Ubisoft San Francisco,,,,0.09,0.07,0.01,,0.01,2015
Spider-Man: Edge of Time,Action,Wii,Activision,Beenox,,,,0.09,0.06,0.02,,0.01,2011
Sengoku Basara 4: Sumeragi,Action,PS3,Capcom,Unknown,,,,0.09,,,0.09,,2015
Puss in Boots,Misc,PS3,THQ,THQ,,,,0.09,0.07,0.01,,0.01,2011
NBA 2K18,Sports,PS3,2K Sports,Visual Concepts,7,,,0.09,0.06,0.01,0.01,0.01,2017
Lara Croft and the Temple of Osiris,Action,PS4,Square Enix,Crystal Dynamics,,,,0.09,,0.07,,0.01,2014
Dragon's Dogma Online,Role-Playing,PS4,Capcom,Capcom,,,,0.09,,,0.09,,2015
Captain America: Super Soldier,Action,3DS,Sega,Sega,5,,,0.09,0.05,0.03,,0.01,2011
Shining Resonance Refrain,Role-Playing,NS,Sega,Media.Vision,,,,0.09,0.05,0.01,0.01,0.01,2018
FIFA Soccer 12,Sports,PS2,EA Sports,EA Canada,,,,0.09,,0.02,,0.06,2011
Nikoli's Pencil Puzzle,Puzzle,3DS,Konami,Hudson Soft,,,,0.09,0.05,0.03,,0.01,2011
FIFA 18,Sports,PC,EA Sports,EA Vancouver,8,,,0.08,,0.08,,0,2017
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Misc,XOne,Ubisoft,Ubisoft,,,,0.08,0.08,,,0.01,2017
The Sims 3: Barnacle Bay,Simulation,PC,Electronic Arts,Maxis,,,,0.08,0.08,,,0.01,2011
Ghostbusters (2016),Action,PS4,Activision,FireForge Games,,,,0.08,0.07,,,0.02,2016
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,PS3,THQ,THQ,,,,0.08,0.04,0.04,,0.01,2011
SaGa 3: Jikuu no Hasha - Shadow or Light,Role-Playing,DS,Square Enix,Square Enix,,,,0.08,,,0.08,,2011
Just Dance: Disney Party 2,Music,XOne,Ubisoft,Ubisoft San Francisco,,,,0.08,0.06,0.01,,0.01,2015
Puzzler Mind Gym 3D,Puzzle,3DS,Ubisoft,Ubisoft,,,,0.08,0.07,,,0.01,2011
DanceDanceRevolution,Simulation,X360,Konami,Konami,,,,0.08,0.08,,,0.01,2011
Jimmie Johnson's Anything With an Engine,Racing,Wii,Konami,Isopod Labs,,,,0.08,0.08,,,0.01,2011
Mirror's Edge Catalyst,Platform,PC,Electronic Arts,EA DICE,,,,0.08,0.01,0.06,,0.01,2016
Hasbro Family Fun Pack Conquest Edition,Misc,PS4,Ubisoft,Ubisoft,,,,0.08,0.07,,,0.02,2016
Bakugan: Rise of the Resistance,Strategy,DS,Activision,Activision,,,,0.08,0.05,0.02,,0.01,2011
Major League Baseball 2K11,Sports,PC,2K Sports,Visual Concepts,,,,0.08,0.06,0.02,,0.01,2011
Shining Resonance Refrain,Role-Playing,PS4,Sega,Media.Vision,,,,0.08,0.03,0.01,0.04,0.01,2018
"Warhammer 40,000: Dawn of War II - Retribution",Strategy,PC,THQ,Relic Entertainment,7.9,,,0.08,,0.06,,0.02,2011
"The $1,000,000 Pyramid",Misc,Wii,Ubisoft,Ubisoft,,,,0.08,0.07,,,0.01,2011
ZhuZhu Babies,Simulation,DS,Activision,Black Lantern Studios,,,,0.08,0.06,0.01,,0.01,2011
Toy Soldiers: War Chest,Action,XOne,Ubisoft,Signal Studios,,,,0.08,0.07,,,0.01,2015
Tony Hawk's Pro Skater 5,Sports,X360,Activision,Robomodo,,,,0.08,0.07,,,0.01,2015
Jimmie Johnson's Anything With an Engine,Racing,PS3,Konami,Isopod Labs,,,,0.08,0.07,,,0.01,2011
Dead Rising,Action,PS4,Capcom,Capcom Production Studio 1,,,,0.08,0.04,,0.02,0.01,2016
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PSV,Disney Interactive Studios,Avalanche Software,,,,0.08,,0.06,,0.02,2015
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Action,Wii,THQ,THQ,,,,0.08,0.04,0.03,,0.01,2011
Child of Light,Role-Playing,PSV,Ubisoft,Ubisoft Montreal,,,,0.08,,0.05,0.02,0.01,2014
Family Game Night 4: The Game Show,Misc,X360,Electronic Arts,Electronic Arts,,,,0.08,0.07,0,,0.01,2011
Mario vs. Donkey Kong: Tipping Stars,Puzzle,3DS,Nintendo,Nintendo Software Technology Corporation,6.5,,,0.08,,,0.08,,2015
Hero Bank,Role-Playing,3DS,Sega,Sega,,,,0.08,,,0.08,,2014
Disney's Planes,Adventure,3DS,Disney Interactive Studios,TOSE,,,,0.08,0.04,0.03,,0.01,2013
Super Street Fighter IV: Arcade Edition,Fighting,PC,Capcom,Capcom / Dimps Corporation,8.5,,,0.08,0.04,0.02,,0.01,2011
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,Sports,DS,Konami,Konami,,,,0.08,,,0.08,,2011
Fairy Tail: Portable Guild 2,Fighting,PSP,Konami,Konami,,,,0.08,,,0.08,,2011
NHL-Legacy Edition,Sports,PS3,EA Sports,EA Canada,,,,0.07,0.06,,,0.01,2015
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,Action,PS3,Konami,Unknown,,,,0.07,,,0.07,,2011
Resident Evil 5,Action,PS4,Capcom,Capcom,,,,0.07,0.05,,0.01,0.01,2016
You Don't Know Jack,Misc,DS,THQ,"Jellyvision, Inc.",6,,,0.07,0.07,,,0.01,2011
Generator Rex: Agent of Providence,Action,PS3,Activision,Virtuos,,,,0.07,0.05,0.01,,0.01,2011
I am Setsuna,Role-Playing,PS4,Square Enix,Tokyo RPG Factory,,,,0.07,,,0.07,,2016
Soccer Tsuku: Pro Soccer Club o Tsukurou!,Sports,PSV,Sega,Sega,,,,0.07,,,0.07,,2013
Far Cry 5,Action,PC,Ubisoft,Ubisoft,6.3,,,0.07,,0.07,,0,2018
Brothers in Arms: Furious 4,Shooter,PS3,Ubisoft,Gearbox Software,,,,0.07,0.01,0.05,,0.01,2012
Need for Speed: Most Wanted (2012),Racing,PC,Electronic Arts,Criterion Games,,,,0.07,,0.06,,0.01,2012
Teenage Mutant Ninja Turtles: Mutants in Manhattan,Action,XOne,Activision,PlatinumGames,,,,0.07,0.05,0.01,,0.01,2016
Seiken Densetsu Collection,Role-Playing,NS,Square Enix,Square Enix,,,,0.07,,,0.07,,2017
Rayman Origins,Platform,PC,Ubisoft,UBIart Montpellier,,,,0.07,0,0.06,,0.01,2012
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,Misc,PS4,Square Enix,Square Enix,,,,0.07,,,0.07,,2017
Petz Fantasy 3D,Simulation,3DS,Ubisoft,Ubisoft,,,,0.07,0.07,,,0,2011
Dead Rising 2,Action,PS4,Capcom,Capcom,,,,0.07,0.04,,0.02,0.01,2016
Just Dance: Disney Party 2,Music,X360,Ubisoft,Ubisoft San Francisco,,,,0.07,0.06,0.01,,0.01,2015
